id,title,description,created_at,due_date,completed,completed_at,updated_at
28,Task 21,Design new logo,1721144834259,1723881600000,1,1721144834259,1721144834259
29,Task 22,Analyze sales data,1721144834259,1724006400000,1,1721144834259,1721144834259
30,Task 23,Prepare budget report,1721144834259,1724131200000,1,1721144834259,1721144834259
31,Task 24,Develop app prototype,1721144834259,1724256000000,1,1721144834259,1721144834259
32,Task 25,Coordinate event logistics,1721144834259,1724380800000,1,1721144834259,1721144834259
33,Task 26,Update CRM system,1721144834259,1724505600000,1,1721144834259,1721144834259
34,Task 27,Host webinar,1721144834259,1724630400000,1,1721144834259,1721144834259
35,Task 28,Create social media content,1721144834259,1724755200000,1,1721144834259,1721144834259
36,Task 29,Review legal documents,1721144834259,1724880000000,1,1721144834259,1721144834259
37,Task 30,Conduct training session,1721144834259,1725004800000,1,1721144834259,1721144834259
38,Task 31,Manage project milestones,1721144834259,1725129600000,1,1721144834259,1721144834259
39,Task 32,Plan marketing campaign,1721144834259,1725254400000,1,1721144834259,1721144834259
40,Task 33,Develop SEO strategy,1721144834259,1725379200000,1,1721144834259,1721144834259
41,Task 34,Conduct competitor analysis,1721144834259,1725504000000,1,1721144834259,1721144834259
42,Task 35,Prepare annual report,1721144834259,1725628800000,1,1721144834259,1721144834259
43,Task 36,Update employee handbook,1721144834259,1725753600000,1,1721144834259,1721144834259
44,Task 37,Organize team lunch,1721144834259,1725878400000,1,1721144834259,1721144834259
45,Task 38,Review performance metrics,1721144834259,1726003200000,1,1721144834259,1721144834259
46,Task 39,Create financial forecast,1721144834259,1726128000000,1,1721144834259,1721144834259
47,Task 40,Plan office renovation,1721144834259,1726252800000,1,1721144834259,1721144834259
48,Task 41,Attend networking event,1721144834259,1726377600000,1,1721144834259,1721144834259
49,Task 42,Conduct employee survey,1721144834259,1726502400000,1,1721144834259,1721144834259
50,Task 43,Review IT infrastructure,1721144834259,1726627200000,1,1721144834259,1721144834259
51,Task 44,Develop risk management plan,1721144834259,1726752000000,1,1721144834259,1721144834259
52,Task 45,Create onboarding process,1721144834259,1726876800000,1,1721144834259,1721144834259
53,Task 46,Update product catalog,1721144834259,1727001600000,1,1721144834259,1721144834259
54,Task 47,Plan customer appreciation event,1721144834259,1727126400000,1,1721144834259,1721144834259
55,Task 48,Conduct focus group,1721144834259,1727251200000,1,1721144834259,1721144834259
56,Task 49,Review marketing materials,1721144834259,1727376000000,1,1721144834259,1721144834259
57,Task 50,Analyze website traffic,1721144834259,1727500800000,1,1721144834259,1721144834259
58,Task 51,Prepare tax documents,1721144834259,1727625600000,1,1721144834259,1721144834259
59,Task 52,Update inventory system,1721144834259,1727750400000,1,1721144834259,1721144834259
60,Task 53,Conduct safety audit,1721144834259,1727875200000,1,1721144834259,1721144834259
61,Task 54,Review supplier contracts,1721144834259,1728000000000,1,1721144834259,1721144834259
62,Task 55,Develop training materials,1721144834259,1728124800000,1,1721144834259,1721144834259
63,Task 56,Plan product launch,1721144834259,1728249600000,1,1721144834259,1721144834259
64,Task 57,Create email newsletter,1721144834259,1728374400000,1,1721144834259,1721144834259
65,Task 58,Analyze customer behavior,1721144834259,1728499200000,1,1721144834259,1721144834259
66,Task 59,Update compliance documents,1721144834259,1728624000000,1,1721144834259,1721144834259
67,Task 60,Prepare sales pitch,1721144834259,1728748800000,1,1721144834259,1721144834259
68,Task 61,Develop brand guidelines,1721144834259,1728873600000,1,1721144834259,1721144834259
69,Task 62,Host industry roundtable,1721144834259,1728998400000,1,1721144834259,1721144834259
70,Task 63,Review project deliverables,1721144834259,1729123200000,1,1721144834259,1721144834259
71,Task 64,Plan product demo,1721144834259,1729248000000,1,1721144834259,1721144834259
72,Task 65,Analyze market trends,1721144834259,1729372800000,1,1721144834259,1721144834259
73,Task 66,Create training schedule,1721144834259,1729497600000,1,1721144834259,1721144834259
74,Task 67,Develop content strategy,1721144834259,1729622400000,1,1721144834259,1721144834259
75,Task 68,Review financial statements,1721144834259,1729747200000,1,1721144834259,1721144834259
76,Task 69,Plan charity event,1721144834259,1729872000000,1,1721144834259,1721144834259
77,Task 70,Update software,1721144834259,1729996800000,1,1721144834259,1721144834259
78,Task 71,Conduct user testing,1721144834259,1730121600000,1,1721144834259,1721144834259
79,Task 72,Review business plan,1721144834259,1730246400000,1,1721144834259,1721144834259
80,Task 73,Plan team outing,1721144834259,1730371200000,1,1721144834259,1721144834259
81,Task 74,Prepare project proposal,1721144834259,1730496000000,1,1721144834259,1721144834259
82,Task 75,Develop client presentation,1721144834259,1730620800000,1,1721144834259,1721144834259
83,Task 76,Update marketing plan,1721144834259,1730745600000,1,1721144834259,1721144834259
84,Task 77,Conduct product training,1721144834259,1730870400000,1,1721144834259,1721144834259
85,Task 78,Review HR policies,1721144834259,1730995200000,1,1721144834259,1721144834259
86,Task 79,Plan executive meeting,1721144834259,1731120000000,1,1721144834259,1721144834259
87,Task 80,Analyze financial performance,1721144834259,1731244800000,1,1721144834259,1721144834259
88,Task 81,Prepare press release,1721144834259,1731369600000,1,1721144834259,1721144834259
89,Task 82,Develop sales strategy,1721144834259,1731494400000,1,1721144834259,1721144834259
90,Task 83,Update risk assessment,1721144834259,1731619200000,1,1721144834259,1721144834259
91,Task 84,Plan training session,1721144834259,1731744000000,1,1721144834259,1721144834259
92,Task 85,Review legal compliance,1721144834259,1731868800000,1,1721144834259,1721144834259
93,Task 86,Develop marketing collateral,1721144834259,1731993600000,1,1721144834259,1721144834259
94,Task 87,Conduct market analysis,1721144834259,1732118400000,1,1721144834259,1721144834259
95,Task 88,Plan customer engagement,1721144834259,1732243200000,1,1721144834259,1721144834259
96,Task 89,Review project plan,1721144834259,1732368000000,1,1721144834259,1721144834259
97,Task 90,Update website content,1721144834259,1732492800000,1,1721144834259,1721144834259
98,Task 91,Conduct team meeting,1721144834259,1732617600000,1,1721144834259,1721144834259
99,Task 92,Prepare board presentation,1721144834259,1732742400000,1,1721144834259,1721144834259
100,Task 93,Plan product roadmap,1721144834259,1732867200000,1,1721144834259,1721144834259
101,Task 94,Review stakeholder feedback,1721144834259,1732992000000,1,1721144834259,1721144834259
102,Task 95,Develop customer support strategy,1721144834259,1733116800000,1,1721144834259,1721144834259
103,Task 96,Prepare marketing analysis,1721144834259,1733241600000,1,1721144834259,1721144834259
104,Task 97,Update project schedule,1721144834259,1733366400000,1,1721144834259,1721144834259
105,Task 98,Conduct product review,1721144834259,1733491200000,1,1721144834259,1721144834259
106,Task 99,Review sales performance,1721144834259,1733616000000,1,1721144834259,1721144834259
107,Task 100,Develop content calendar,1721144834259,1733740800000,1,1721144834259,1721144834259
